英単語(原形),No
am,1
is,1
are,1
do/does,1
cut,1
hit,1
let,1
put,1
read,1
become,1
come,1
run,1
bring,1
build,1
buy,1
catch,1
feel,1
fight,1
find,1
get,1
have/has,1
hear,2
hold,2
keep,2
lay,2
leave,2
lend,2
lose,2
make,2
mean,2
meet,2
pay,2
say,2
sell,2
send,2
shine,2
sit,2
sleep,2
spend,2
stand,2
teach,3
tell,3
think,3
understand,3
win,3
begin,3
break,3
choose,3
draw,3
drink,3
drive,3
eat,3
fall,3
fly,3
forget,3
give,3
go,3
grow,3
know,3
lie,4
ride,4
ring,4
rise,4
see,4
show,4
sing,4
sink,4
speak,4
steal,4
swim,4
take,4
throw,4
wake,4
wear,4
write,4
